,title,href,company,compensation1,compensation2,money_type,source
103,PHP-программист,https://www.superjob.ru/vakansii/php-programmist-30349329.html,НПП Гарант Сервис Университет,140000,,руб,superjob.ru
104,Программист PHP (релокация на о. Бали),https://www.superjob.ru/vakansii/programmist-php-32517185.html,Business connection,100000,250000,руб,superjob.ru
105,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-32825056.html,Тануки,120000,150000,руб,superjob.ru
106,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-32866785.html,СТРАТЕГИЯ,120000,120000,руб,superjob.ru
107,Веб-программист (PHP),https://www.superjob.ru/vakansii/veb-programmist-31375774.html,НПП Гарант Сервис Университет,90000,90000,руб,superjob.ru
108,Программист С#,https://www.superjob.ru/vakansii/programmist-s-32751141.html,"АО ""Почта России""",,,,superjob.ru
109,Программист,https://www.superjob.ru/vakansii/programmist-32508997.html,"""НПО ""Алмаз"" (""ГСКБ ""Алмаз-Антей"")",70000,,руб,superjob.ru
110,Ведущий программист,https://www.superjob.ru/vakansii/veduschij-programmist-32587948.html,"Сеть магазинов ""Верный""",,,,superjob.ru
111,Программист C++,https://www.superjob.ru/vakansii/programmist-c-32587664.html,Группа Компаний Д. А. Консалт,80000,120000,руб,superjob.ru
112,Инженер-технолог по металлообработке / Программист станков с ЧПУ,https://www.superjob.ru/vakansii/inzhener-tehnolog-po-metalloobrabotke-32863372.html,СтанкоИмпульс,60000,140000,руб,superjob.ru
113,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-12051692.html,,,,,superjob.ru
114,Программист C#,https://www.superjob.ru/vakansii/programmist-c-32806997.html,НКО Инкахран,,,,superjob.ru
115,Программист МИС,https://www.superjob.ru/vakansii/programmist-mis-32693897.html,«Группа ГУТА»,,,,superjob.ru
116,Сервисный инженер 1С / Программист 1С,https://www.superjob.ru/vakansii/servisnyj-inzhener-1s-32859018.html,Рустехпром,80000,100000,руб,superjob.ru
117,Программист-Разработчик Битрикс24 и Веб-ресурсов,https://www.superjob.ru/vakansii/programmist-razrabotchik-bitriks24-i-veb-resursov-32559552.html,We R.Signs/WRS,100000,120000,руб,superjob.ru
118,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-32133167.html,ОптиКом,,,,superjob.ru
119,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-27469380.html,7ЦВЕТОВ и 7ЦВЕТОВ Декор,130000,,руб,superjob.ru
