,title,href,company,compensation1,compensation2,money_type,source
180,Инженер-эколог (разработчик проектов ПДВ),https://www.superjob.ru/vakansii/inzhener-ekolog-32373677.html,МОСГАЗ,60000,,руб,superjob.ru
181,IOS Developer,https://www.superjob.ru/vakansii/ios-developer-32477621.html,Открытая Клиника,150000,,руб,superjob.ru
182,Разработчик php,https://www.superjob.ru/vakansii/razrabotchik-php-32332603.html,СТОЛИЧКИ,,,,superjob.ru
183,QA engineer,https://www.superjob.ru/vakansii/qa-engineer-32418378.html,SuperJob,,,,superjob.ru
184,Инженер-разработчик радиоэлектронной аппаратуры,https://www.superjob.ru/vakansii/inzhener-razrabotchik-radioelektronnoj-apparatury-32505350.html,Группа компаний МАСКОМ,100000,150000,руб,superjob.ru
185,IOS разработчик со знанием Swift,https://www.superjob.ru/vakansii/ios-razrabotchik-so-znaniem-swift-32535747.html,Сбербанк России,,,,superjob.ru
186,Разработчик IOS,https://www.superjob.ru/vakansii/razrabotchik-ios-32555796.html,Сбербанк России,,,,superjob.ru
187,IOS Developer (middle),https://www.superjob.ru/vakansii/ios-developer-32569497.html,Biglion,,,,superjob.ru
188,Разработчик Abap,https://www.superjob.ru/vakansii/razrabotchik-abap-32396436.html,"ООО ""Гиперглобус""",,,,superjob.ru
189,Android-разработчик,https://www.superjob.ru/vakansii/android-razrabotchik-31443060.html,SuperJob,,,,superjob.ru
190,Ведущий PHP-разработчик в команду Бэк-офис,https://www.superjob.ru/vakansii/veduschij-php-razrabotchik-v-komandu-bek-ofis-31816458.html,SuperJob,,,,superjob.ru
191,.NET разработчик WPF/WCF,https://www.superjob.ru/vakansii/net-razrabotchik-wpf-32481338.html,Открытая Клиника,150000,,руб,superjob.ru
192,Ведущий инженер по автоматизации тестирования / Senior Test Automation Engineer (Java),https://www.superjob.ru/vakansii/veduschij-inzhener-po-avtomatizacii-testirovaniya-31173321.html,НПП Гарант Сервис,115000,,руб,superjob.ru
193,Backend-разработчик на PHP (Middle),https://www.superjob.ru/vakansii/backend-razrabotchik-na-php-30750769.html,Крупная Сервисная Компания,130000,,руб,superjob.ru
194,Разработчик C#,https://www.superjob.ru/vakansii/razrabotchik-c-32646788.html,Сбербанк России,,,,superjob.ru
195,Разработчик MS Dynamics NAV,https://www.superjob.ru/vakansii/razrabotchik-ms-dynamics-nav-32764042.html,Компания SIMPLE,,,,superjob.ru
196,Разработчик ASP.NET,https://www.superjob.ru/vakansii/razrabotchik-asp-32181826.html,Аптеки Столички,100000,,руб,superjob.ru
197,Разработчик в отдел технических средств обучения (C++ / Qt),https://www.superjob.ru/vakansii/razrabotchik-v-otdel-tehnicheskih-sredstv-obucheniya-31739162.html,"ПАО ""Компания ""Сухой""",60000,100000,руб,superjob.ru
198,Big Data Engineer,https://www.superjob.ru/vakansii/big-data-engineer-32889057.html,DWI,300000,350000,руб,superjob.ru
199,Web-разработчик,https://www.superjob.ru/vakansii/web-razrabotchik-32645121.html,Crocus Group,65000,75000,руб,superjob.ru
